Symbol,Company Name,Market cap,Beta,P/E,Price,Volume,Annual Return,Cluster
GOODLUCK.NS,Goodluck India Limited,25627245170,0.468,18.73,836.75,72553,1.0565,0
SURYODAY.NS,Suryoday Small Finance Bank Limited,20364041750,0.014,9.72,191.75,506810,0.7081,0
NITINSPIN.NS,Nitin Spinners Limited,17684001000,0.543,13.9,314.55,150225,0.4686,0
SUULD.NS,Suumaya Industries Limited,425793641,0.388,-0.05,6.45,757643,-0.4188,0
TORNTPOWER.NS,Torrent Power Limited,691800109800,0.476,38.54,1439.4,567637,1.5909,0
KAYNES.NS,Kaynes Technology India Limited,185394362035,0.37709296,103.63,2900.5,770449,1.9646,0
KIRLOSBROS.NS,Kirloskar Brothers Limited,123218790130,0.741,39.43,1551.7,210306,1.8573,1
SHAKTIPUMP.NS,Shakti Pumps (India) Limited,52112294002,0.574,32.37,2379.25,322430,2.2659,0
MACPOWER.NS,Macpower CNC Machines Limited,13533681760,0.193,76.25,1352.8,10091,2.8884,0
FCSSOFT.NS,FCS Software Solutions Limited,6154380000,2.147,-52.86,3.6,6750810,0.9211,1
CYBERTECH.NS,CyberTech Systems and Software Limited,4406536430,0.954,18.88,141.55,99946,0.4371,1
JAYSREETEA.NS,Jay Shree Tea & Industries Limited,2676654576,0.647,22.09,98.1,30371,0.1824,1
ZENITHSTL.NS,Zenith Steel Pipes & Industries Limited,1024416000,0.031,-246.67,7.2,303463,1.1127,0
LTIM.NS,LTIMindtree Limited,1387940416439,0.667,30.58,4688.85,456985,0.0783,1
LTTS.NS,L&T Technology Services Limited,488992600350,0.479,38.02,4623.65,224798,0.6369,0
NLCINDIA.NS,NLC India Limited,281279924000,0.646,16.24,202.85,10064880,2.0594,1
PITTIENG.NS,Pitti Engineering Limited,27665646320,0.819,32.09,863.2,83014,1.8113,1
MBAPL.NS,Madhya Bharat Agro Products Limited,19527654665,-0.154,80.12,222.85,86062,-0.1528,0
XELPMOC.NS,Xelpmoc Design and Tech Limited,1606198320,0.958,-12.08,109.8,29165,0.3213,1
TOTAL.NS,Total Transport Systems Limited,1465137859,0.425,164.56,90.85,16781,-0.2368,0
BEL.NS,Bharat Electronics Limited,1903101223000,0.37,51.23,260.35,193451456,1.1655,3
NCLIND.NS,NCL Industries Limited,9562213920,0.357,10.64,211.4,356567,0.031,0
OSWALSEEDS.NS,ShreeOswal Seeds and Chemicals Limited,2190706500,-0.666,38.71,23.95,35004,-0.4711,0
CYBERMEDIA.NS,Cyber Media (India) Limited,364262400,-0.196,11.06,23.25,7112,0.5709,0
JSL.NS,Jindal Stainless Limited,639150247000,1.051,24.09,776.2,2456159,1.4684,1
GMRINFRA.NS,GMR Infrastructure Limited,493438912500,0.763,-91.67,81.75,71648477,1.0711,1
LTF.NS,L&T Finance Limited,390531424077,1.057,0.0,156.85,5257181,0.9858,1
ASTRAZEN.NS,AstraZeneca Pharma India Limited,150311250000,0.38,95.1,6012.45,14974,0.6701,0
EVERESTIND.NS,Everest Industries Limited,16829388510,0.558,96.32,1065.9,22198,0.4165,0
BCONCEPTS.NS,Brand Concepts Limited,7558057920,-0.013,70.77,678.9,14349,2.146,0
